Time,Speed
0.0,6.7
600.0,4.6
1200.0,5.5
1800.0,6.5
2400.0,7.7
3000.0,8.4
3600.0,5.4
4200.0,4.8
4800.0,3.7
5400.0,3.8
6000.0,3.8
6600.0,2.8
7200.0,3.1
7800.0,3.1
8400.0,3.4
9000.0,3.5
9600.0,4.9
10200.0,6.2
10800.0,6.4
11400.0,5.5
12000.0,5.5
12600.0,6.7
13200.0,5.9
13800.0,5.8
14400.0,5.4
15000.0,4.7
15600.0,4.5
16200.0,5.5
16800.0,4.9
17400.0,4.5
18000.0,4.8
18600.0,4.7
19200.0,3.6
19800.0,3.9
20400.0,2.4
21000.0,2.0
21600.0,3.8
22200.0,4.4
22800.0,2.5
23400.0,1.6
24000.0,3.0
24600.0,2.9
25200.0,3.0
25800.0,1.5
26400.0,1.7
27000.0,1.3
27600.0,2.2
28200.0,2.4
28800.0,3.3
29400.0,2.5
30000.0,1.8
30600.0,3.2
31200.0,4.6
31800.0,2.3
32400.0,3.6
33000.0,2.1
33600.0,3.5
34200.0,2.2
34800.0,2.4
35400.0,1.0
36000.0,1.0
36600.0,1.2
37200.0,0.9
37800.0,1.5
38400.0,1.1
39000.0,2.1
39600.0,2.8
40200.0,3.8
40800.0,4.5
41400.0,4.0
42000.0,4.0
42600.0,3.9
43200.0,4.6
43800.0,5.5
44400.0,5.4
45000.0,5.7
45600.0,5.7
46200.0,6.7
46800.0,6.7
47400.0,8.2
48000.0,8.1
48600.0,8.7
49200.0,9.2
49800.0,9.7
50400.0,9.9
51000.0,9.4
51600.0,10.2
52200.0,9.9
52800.0,8.5
53400.0,6.6
54000.0,7.2
54600.0,6.8
55200.0,7.8
55800.0,9.4
56400.0,13.3
57000.0,16.1
57600.0,17.1
58200.0,14.1
58800.0,15.3
59400.0,15.2
60000.0,14.9
60600.0,14.8
61200.0,14.6
61800.0,16.6
62400.0,17.4
63000.0,16.4
63600.0,15.8
64200.0,16.1
64800.0,15.0
65400.0,14.9
66000.0,15.8
66600.0,15.3
67200.0,15.5
67800.0,16.3
68400.0,15.9
69000.0,17.1
69600.0,18.2
70200.0,15.9
70800.0,16.3
71400.0,17.1
72000.0,18.4
72600.0,19.0
73200.0,21.3
73800.0,19.8
74400.0,21.8
75000.0,22.6
75600.0,23.2
76200.0,21.2
76800.0,20.3
77400.0,21.0
78000.0,20.9
78600.0,21.1
79200.0,20.9
79800.0,20.6
80400.0,20.0
81000.0,19.1
81600.0,18.7
82200.0,17.6
82800.0,18.4
83400.0,19.1
84000.0,22.0
84600.0,21.7
85200.0,20.9
85800.0,18.9
86400.0,22.2
87000.0,23.8
87600.0,22.6
88200.0,24.3
88800.0,24.4
89400.0,22.8
90000.0,22.8
90600.0,22.9
91200.0,19.0
91800.0,19.6
92400.0,18.9
93000.0,19.1
93600.0,19.9
94200.0,20.1
94800.0,19.7
95400.0,20.3
96000.0,20.0
96600.0,21.8
97200.0,23.1
97800.0,21.6
98400.0,21.2
99000.0,20.6
99600.0,19.8
100200.0,20.0
100800.0,22.4
101400.0,21.8
102000.0,21.3
102600.0,21.3
103200.0,21.7
103800.0,18.8
104400.0,17.6
105000.0,16.2
105600.0,17.2
106200.0,16.5
106800.0,18.3
107400.0,17.6
108000.0,15.7
108600.0,15.6
109200.0,16.1
109800.0,16.9
110400.0,16.9
111000.0,16.1
111600.0,17.0
112200.0,15.3
112800.0,15.1
113400.0,16.0
114000.0,15.1
114600.0,15.6
115200.0,16.2
115800.0,15.2
116400.0,15.2
117000.0,16.6
117600.0,17.4
118200.0,18.1
118800.0,17.6
119400.0,18.5
120000.0,17.8
120600.0,16.7
121200.0,17.4
121800.0,16.6
122400.0,14.9
123000.0,14.8
123600.0,17.6
124200.0,15.8
124800.0,14.7
125400.0,14.6
126000.0,13.0
126600.0,13.3
127200.0,12.0
127800.0,13.0
128400.0,11.4
129000.0,11.4
129600.0,11.0
130200.0,10.9
130800.0,11.7
131400.0,11.5
132000.0,10.6
132600.0,10.9
133200.0,10.1
133800.0,9.3
134400.0,8.7
135000.0,8.9
135600.0,9.4
136200.0,9.2
136800.0,9.8
137400.0,8.5
138000.0,7.1
138600.0,6.1
139200.0,7.1
139800.0,8.3
140400.0,8.3
141000.0,6.8
141600.0,6.7
142200.0,7.8
142800.0,6.1
143400.0,5.8
144000.0,5.1
144600.0,6.4
145200.0,6.5
145800.0,4.1
146400.0,5.6
147000.0,4.9
147600.0,3.8
148200.0,3.3
148800.0,4.3
149400.0,4.0
150000.0,4.4
150600.0,4.1
151200.0,1.7
151800.0,0.0
152400.0,2.3
153000.0,2.7
153600.0,3.4
154200.0,4.3
154800.0,6.0
155400.0,7.5
156000.0,7.9
156600.0,8.4
157200.0,8.7
157800.0,9.0
158400.0,9.4
159000.0,9.4
159600.0,9.9
160200.0,10.7
160800.0,10.6
161400.0,10.9
162000.0,11.0
162600.0,9.5
163200.0,10.4
163800.0,11.5
164400.0,12.0
165000.0,12.9
165600.0,15.3
166200.0,13.6
166800.0,13.6
167400.0,12.8
168000.0,11.6
168600.0,9.5
169200.0,9.9
169800.0,10.8
170400.0,10.7
171000.0,8.3
171600.0,8.6
172200.0,10.3
172800.0,10.8
173400.0,11.2
174000.0,11.2
174600.0,10.4
175200.0,11.0
175800.0,10.0
176400.0,8.7
177000.0,7.9
177600.0,6.8
178200.0,5.8
178800.0,7.0
179400.0,7.4
180000.0,6.4
180600.0,5.7
181200.0,6.1
181800.0,6.6
182400.0,6.1
183000.0,6.1
183600.0,4.1
184200.0,6.3
184800.0,5.6
185400.0,6.0
186000.0,5.8
186600.0,6.2
187200.0,6.8
187800.0,6.0
188400.0,4.5
189000.0,2.4
189600.0,2.2
190200.0,2.3
190800.0,3.1
191400.0,3.5
192000.0,2.5
192600.0,2.6
193200.0,4.3
193800.0,3.6
194400.0,3.9
195000.0,5.1
195600.0,2.8
196200.0,1.7
196800.0,2.2
197400.0,3.0
198000.0,2.9
198600.0,4.1
199200.0,3.5
199800.0,3.0
200400.0,3.0
201000.0,3.9
201600.0,4.5
202200.0,4.0
202800.0,4.3
203400.0,5.9
204000.0,6.9
204600.0,7.1
205200.0,6.1
205800.0,6.5
206400.0,6.3
207000.0,5.3
207600.0,4.9
208200.0,6.0
208800.0,5.9
209400.0,5.0
210000.0,4.2
210600.0,3.7
211200.0,4.7
211800.0,4.8
212400.0,3.7
213000.0,4.6
213600.0,4.4
214200.0,4.6
214800.0,5.4
215400.0,6.4
216000.0,5.1
216600.0,5.3
217200.0,4.2
217800.0,4.0
218400.0,4.4
219000.0,4.1
219600.0,4.3
220200.0,4.8
220800.0,5.3
221400.0,5.2
222000.0,4.7
222600.0,5.3
223200.0,5.5
223800.0,5.5
224400.0,5.7
225000.0,5.6
225600.0,5.2
226200.0,5.9
226800.0,5.6
227400.0,4.7
228000.0,4.0
228600.0,4.6
229200.0,5.3
229800.0,5.5
230400.0,5.3
231000.0,5.8
231600.0,5.6
232200.0,5.2
232800.0,5.6
233400.0,6.8
234000.0,8.1
234600.0,6.1
235200.0,5.1
235800.0,6.2
236400.0,6.2
237000.0,5.9
237600.0,6.2
238200.0,6.1
238800.0,6.9
239400.0,7.4
240000.0,6.2
240600.0,5.8
241200.0,5.0
241800.0,4.6
242400.0,5.9
243000.0,7.1
243600.0,7.7
244200.0,7.8
244800.0,7.8
245400.0,5.5
246000.0,4.8
246600.0,4.4
247200.0,5.2
247800.0,6.5
248400.0,8.3
249000.0,7.2
249600.0,5.5
250200.0,4.5
250800.0,4.7
251400.0,4.2
252000.0,4.1
252600.0,4.5
253200.0,4.1
253800.0,4.1
254400.0,4.0
255000.0,3.7
255600.0,3.2
256200.0,3.9
256800.0,4.8
257400.0,5.7
258000.0,5.8
258600.0,5.8
259200.0,5.7
259800.0,6.2
260400.0,5.4
261000.0,6.1
261600.0,6.6
262200.0,6.1
262800.0,5.8
263400.0,5.6
264000.0,7.0
264600.0,7.2
265200.0,7.8
265800.0,7.9
266400.0,8.6
267000.0,9.5
267600.0,9.0
268200.0,9.3
268800.0,8.5
269400.0,9.8
270000.0,10.0
270600.0,11.3
271200.0,12.0
271800.0,12.1
272400.0,12.1
273000.0,11.7
273600.0,11.7
274200.0,11.2
274800.0,11.8
275400.0,12.0
276000.0,11.7
276600.0,12.1
277200.0,11.3
277800.0,10.8
278400.0,9.3
279000.0,8.7
279600.0,7.7
280200.0,8.9
280800.0,10.4
281400.0,9.9
282000.0,9.4
282600.0,9.3
283200.0,9.3
283800.0,9.7
284400.0,10.3
285000.0,9.6
285600.0,9.4
286200.0,8.8
286800.0,10.3
287400.0,10.1
288000.0,9.4
288600.0,8.6
289200.0,9.2
289800.0,9.7
290400.0,8.7
291000.0,8.2
291600.0,7.3
292200.0,8.1
292800.0,8.9
293400.0,9.3
294000.0,9.1
294600.0,9.9
295200.0,10.1
295800.0,10.8
296400.0,10.6
297000.0,9.9
297600.0,9.3
298200.0,9.7
298800.0,9.5
299400.0,9.6
300000.0,8.9
300600.0,8.1
301200.0,7.5
301800.0,5.5
302400.0,5.9
303000.0,6.6
303600.0,6.5
304200.0,5.6
304800.0,4.4
305400.0,6.0
306000.0,6.4
306600.0,5.3
307200.0,5.5
307800.0,6.0
308400.0,6.4
309000.0,5.7
309600.0,4.0
310200.0,4.1
310800.0,4.7
311400.0,4.3
312000.0,4.0
312600.0,3.3
313200.0,2.7
313800.0,2.5
314400.0,2.3
315000.0,2.0
315600.0,2.0
316200.0,2.0
316800.0,1.0
