Read by,DR Version 10,7/26/2006 17:38,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443,,
Time Zone,-5,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1834,,
Previously Read,NO,,
Start Time,6/1/2006 2:03,,
Battery Voltage at Start,5.1,,
Gust Speed,52,,
Gust Direction,248,,
Gust Time,6/9/2006 8:05,,
Stop Time,7/10/2006 0:00,,
Battery Voltage at Stop,4.9,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 2A 07 B8 57 A1 FF FF FF ,,,
03 02 01 06 6A 84 FF FF 3C B0 05 08 09 06 6A FF ,,,
00 00 0A 07 6A 7D FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
6/1/2006 2:00,10.2,2.14,135
6/1/2006 2:10,8.9,2.83,180
6/1/2006 2:20,6.1,1.07,158
6/1/2006 2:30,7.4,2.94,180
6/1/2006 2:40,6.3,3.32,180
6/1/2006 2:50,5.6,2.94,135
6/1/2006 3:00,9.9,1.82,135
6/1/2006 3:10,6.1,1.66,90
6/1/2006 3:20,7.8,2.46,113
6/1/2006 3:30,4.3,1.71,180
6/1/2006 3:40,7.6,2.3,158
6/1/2006 3:50,9.3,2.3,113
6/1/2006 4:00,11.2,2.78,158
6/1/2006 4:10,8.3,1.5,135
6/1/2006 4:20,9,1.82,158
6/1/2006 4:30,2.7,1.6,23
6/1/2006 4:40,5.5,3.74,180
6/1/2006 4:50,10,1.82,158
6/1/2006 5:00,9.2,1.6,158
6/1/2006 5:10,6.6,1.07,158
6/1/2006 5:20,3.2,1.34,158
6/1/2006 5:30,7.2,2.83,135
6/1/2006 5:40,8.8,1.5,135
6/1/2006 5:50,8.2,1.23,158
6/1/2006 6:00,6.7,0.96,135
6/1/2006 6:10,8.2,1.23,158
6/1/2006 6:20,6.6,1.23,158
6/1/2006 6:30,6.7,1.07,158
6/1/2006 6:40,5.4,1.98,135
6/1/2006 6:50,6.7,1.12,158
6/1/2006 7:00,7.2,1.12,158
6/1/2006 7:10,5.6,0.8,135
6/1/2006 7:20,5.4,0.59,158
6/1/2006 7:30,3.5,1.18,158
6/1/2006 7:40,2.1,0.7,135
6/1/2006 7:50,0,0,135
6/1/2006 8:00,0,0,135
6/1/2006 8:10,2.6,1.12,135
6/1/2006 8:20,4.5,0.64,135
6/1/2006 8:30,5.3,0.59,113
6/1/2006 8:40,3.8,0.86,113
6/1/2006 8:50,4.1,0.75,113
6/1/2006 9:00,4,0.64,113
6/1/2006 9:10,1.3,0.91,135
6/1/2006 9:20,0.9,0.27,203
6/1/2006 9:30,0,0,203
6/1/2006 9:40,0,0,203
6/1/2006 9:50,0,0,180
6/1/2006 10:00,0,0,180
6/1/2006 10:10,0,0,180
6/1/2006 10:20,0,0,135
6/1/2006 10:30,0,0,113
6/1/2006 10:40,0,0,90
6/1/2006 10:50,1.5,0.91,23
6/1/2006 11:00,8.3,1.5,68
6/1/2006 11:10,4.8,1.07,68
6/1/2006 11:20,3.2,1.02,68
6/1/2006 11:30,0.8,0.16,90
6/1/2006 11:40,0,0,90
6/1/2006 11:50,1.5,0.8,45
6/1/2006 12:00,3.3,0.64,45
6/1/2006 12:10,3.4,1.07,68
6/1/2006 12:20,1,0.43,68
6/1/2006 12:30,2.1,0.43,45
6/1/2006 12:40,4.6,2.67,23
6/1/2006 12:50,8.3,1.12,338
6/1/2006 13:00,7.5,0.37,338
6/1/2006 13:10,7.8,0.43,338
6/1/2006 13:20,7.7,0.53,338
6/1/2006 13:30,7.6,0.37,338
6/1/2006 13:40,7.8,0.43,338
6/1/2006 13:50,7.3,0.59,338
6/1/2006 14:00,7.2,0.43,338
6/1/2006 14:10,7,0.43,338
6/1/2006 14:20,6.4,0.53,338
6/1/2006 14:30,5.9,0.37,338
6/1/2006 14:40,6,0.48,338
6/1/2006 14:50,5.8,0.43,338
6/1/2006 15:00,5.8,0.53,338
6/1/2006 15:10,5.9,0.7,338
6/1/2006 15:20,7.1,0.43,338
6/1/2006 15:30,6.9,0.43,0
6/1/2006 15:40,6,0.43,0
6/1/2006 15:50,6.3,0.43,0
6/1/2006 16:00,7.3,0.59,0
6/1/2006 16:10,7.8,0.48,23
6/1/2006 16:20,6.4,0.64,45
6/1/2006 16:30,4.8,1.18,45
6/1/2006 16:40,4.1,0.48,45
6/1/2006 16:50,5.5,0.91,45
6/1/2006 17:00,7,0.53,45
6/1/2006 17:10,7,0.48,45
6/1/2006 17:20,7,0.53,45
6/1/2006 17:30,6.1,0.53,45
6/1/2006 17:40,6,0.59,45
6/1/2006 17:50,6.8,0.59,23
6/1/2006 18:00,6,0.7,23
6/1/2006 18:10,4.9,0.7,45
6/1/2006 18:20,6,0.75,45
6/1/2006 18:30,6.3,0.75,45
6/1/2006 18:40,5.9,0.7,45
6/1/2006 18:50,6.1,0.91,45
6/1/2006 19:00,6.7,1.07,45
6/1/2006 19:10,7.2,0.91,68
6/1/2006 19:20,7.5,1.07,68
6/1/2006 19:30,8.2,1.07,68
6/1/2006 19:40,9.6,0.91,68
6/1/2006 19:50,8.6,1.02,68
6/1/2006 20:00,10,1.34,68
6/1/2006 20:10,10.5,1.18,68
6/1/2006 20:20,10.9,1.12,68
6/1/2006 20:30,10.8,1.23,68
6/1/2006 20:40,10.1,1.66,68
6/1/2006 20:50,12,1.39,68
6/1/2006 21:00,13,1.55,90
6/1/2006 21:10,11.4,1.82,90
6/1/2006 21:20,12.4,2.19,68
6/1/2006 21:30,12.2,1.92,68
6/1/2006 21:40,12.6,1.98,68
6/1/2006 21:50,11.6,2.46,68
6/1/2006 22:00,11.4,3.15,68
6/1/2006 22:10,8.2,4.17,90
6/1/2006 22:20,9.7,3.58,90
6/1/2006 22:30,7.9,2.51,90
6/1/2006 22:40,9.1,2.62,45
6/1/2006 22:50,8.7,2.46,68
6/1/2006 23:00,8.8,4.17,90
6/1/2006 23:10,8.2,2.94,45
6/1/2006 23:20,6.3,2.14,45
6/1/2006 23:30,8.7,5.13,45
6/1/2006 23:40,9.9,3.32,45
6/1/2006 23:50,7,2.51,90
6/2/2006 0:00,6.3,4.12,180
6/2/2006 0:10,12.4,3.74,90
6/2/2006 0:20,8.7,3.37,90
6/2/2006 0:30,8.3,4.65,113
6/2/2006 0:40,9.5,2.73,68
6/2/2006 0:50,11.7,3.53,68
6/2/2006 1:00,8.7,4.12,90
6/2/2006 1:10,8.1,2.67,23
6/2/2006 1:20,6.3,3.05,158
6/2/2006 1:30,7.6,4.54,45
6/2/2006 1:40,9.7,2.14,68
6/2/2006 1:50,4.4,2.89,158
6/2/2006 2:00,10.2,3.21,90
6/2/2006 2:10,9.7,1.82,68
6/2/2006 2:20,8.6,2.3,23
6/2/2006 2:30,7.9,3.64,23
6/2/2006 2:40,4.6,2.19,158
6/2/2006 2:50,9.2,4.49,68
6/2/2006 3:00,8.2,2.09,68
6/2/2006 3:10,11.8,3.48,68
6/2/2006 3:20,9.2,1.71,68
6/2/2006 3:30,6.1,2.09,45
6/2/2006 3:40,6.7,3.05,68
6/2/2006 3:50,8.8,2.62,135
6/2/2006 4:00,7.8,3.21,68
6/2/2006 4:10,6.6,3.69,68
6/2/2006 4:20,6.9,2.78,45
6/2/2006 4:30,3.2,2.57,158
6/2/2006 4:40,9,3.05,0
6/2/2006 4:50,5.4,1.98,0
6/2/2006 5:00,7.4,2.94,0
6/2/2006 5:10,7.6,1.5,23
6/2/2006 5:20,3.5,1.87,23
6/2/2006 5:30,2.7,1.6,338
