x1,x2,output
439100,100.102,0
397100,100.124,0
661100,100.131,0
585100,100.00638,0
791100,100.0182,0
854100,99.99404,0
544100,100.123,0
690100,100.0103,0
-1339900,99.855,0
1100100,100.0101,0
919100,100.107,0
781100,100.104,0
478100,100.103,0
844100,100.111,0
933100,100.112,0
-1619900,99.881,0
-1369900,99.871,0
-1659900,99.856,0
630100,100.121,0
-1499900,99.858,0
642100,100.0257,0
-1279900,99.866,0
829100,100.103,0
945100,100.118,0
842100,100.00962,0
532100,100.125,0
760100,100.0175,0
819100,100.0162,0
831100,99.9944,0
780100,100.00778,0
692100,99.99817,0
680100,100.0264,0
591100,100.0189,0
668100,100.123,0
-1349900,99.872,0
739100,100.104,0
1090100,100.0276,0
575100,100.0033,0
669100,100.137,0
-1009900,99.875,0
675100,99.9895,0
582100,100.126,0
488100,100.0349,0
807100,100.015,0
799100,100.00308,0
832100,100.0254,0
753100,100.107,0
984100,100.128,0
1180100,99.99869,0
-1559900,99.875,0
-1519900,99.875,0
749100,100.114,0
-1289900,99.871,0
737100,99.99821,0
466100,100.00771,0
478100,100.0206,0
-1459900,99.861,0
314100,100.014,0
648100,100.0000485,0
823100,100.12,0
626100,99.99778,0
-1579900,99.866,0
551100,100.0128,0
900100,100.0233,0
670100,100.135,0
670100,100.000747,0
665100,100.101,0
951100,100.0265,0
776100,100.0311,0
-1529900,99.871,0
-1609900,99.897,0
786100,100.123,0
610100,100.108,0
-1359900,99.887,0
486100,100.109,0
903100,100.00201,0
577100,99.9819,0
760100,100.111,0
1060100,100.116,0
-1499900,99.881,0
923100,100.138,0
929100,100.119,0
953100,100.0152,0
632100,99.99132,0
922100,100.139,0
760100,100.105,0
-1369900,99.886,0
755100,99.99556,0
718100,100.116,0
844100,100.0206,0
685100,99.999586,0
487100,100.0066,0
648100,100.0103,0
825100,100.0303,0
658100,99.99287,0
631100,99.99888,0
503100,100.119,0
-1379900,99.88,0
-1509900,99.892,0
-1199900,99.885,0
818100,100.102,0
-1379900,99.874,0
472100,100.123,0
852100,100.11,0
818100,100.00292,0
698100,100.00559,0
465100,100.104,0
-1489900,99.873,0
819100,100.132,0
-1359900,99.881,0
-1309900,99.902,0
1110100,100.115,0
450100,100.00749,0
903100,100.00204,0
-1229900,99.872,0
837100,100.023,0
731100,100.122,0
659100,100.107,0
-1159900,99.87,0
414100,100.11,0
620100,100.119,0
1050100,100.0104,0
421100,100.0104,0
580100,99.999436,0
744100,100.113,0
408100,100.0114,0
-1389900,99.857,0
852100,100.0252,0
687100,100.106,0
-1459900,99.863,0
751100,100.0101,0
-1329900,99.883,0
699100,100.117,0
648100,100.111,0
474100,100.0277,0
302100,100.00957,0
-1359900,99.875,0
-1179900,99.892,0
887100,100.104,0
716100,100.132,0
393100,100.124,0
-1499900,99.891,0
624100,100.000505,0
940100,100.0124,0
489100,100.115,0
-1339900,99.88,0
778100,99.99552,0
-1349900,99.873,0
864100,100.00635,0
591100,100.0215,0
1180100,99.999444,0
-1359900,99.881,0
826100,100.109,0
776100,99.99721,0
822100,100.116,0
718100,100.00509,0
540100,100.116,0
859100,99.988,0
739100,100.00883,0
694100,100.108,0
-1349900,99.875,0
932100,100.11,0
-1319900,99.87,0
922100,100.109,0
584100,100.122,0
755100,100.132,0
-1309900,99.88,0
-1579900,99.889,0
-1219900,99.894,0
783100,99.9789,0
777100,100.106,0
-1449900,99.869,0
719100,100.12,0
-1429900,99.858,0
726100,100.117,0
637100,100.00558,0
-1379900,99.885,0
-1459900,99.869,0
1020100,100.119,0
632100,99.99545,0
538100,100.0201,0
428100,100.11,0
836100,100.108,0
601100,100.0152,0
-1179900,99.861,0
-1549900,99.861,0
411100,100.118,0
816100,100.00408,0
836100,100.125,0
665100,100.0999,0
568100,99.99487,0
655100,100.133,0
406100,100.00409,0
737100,100.103,0
519100,100.112,0
849100,99.99853,0
596100,100.0287,0
-1329900,99.879,0
338100,100.136,0
787100,100.0293,0
985100,100.0139,0
553100,100.019,0
790100,100.121,0
-1559900,99.869,0
-1489900,99.875,0
-1619900,99.881,0
-1469900,99.876,0
634100,100.0198,0
-1449900,99.885,0
689100,100.114,0
-1529900,99.871,0
643100,100.118,0
719100,100.109,0
-1439900,99.874,0
826100,99.9781,0
522100,99.9979,0
511100,99.999596,0
-1399900,99.879,0
-1409900,99.9021,0
-1159900,99.858,0
578100,100.143,0
-1079900,99.892,0
683100,100.109,0
704100,100.00296,0
748100,99.9822,0
-1339900,99.848,0
-1449900,99.879,0
-1569900,99.878,0
708100,100.101,0
483100,100.103,0
-1439900,99.877,0
452100,99.99664,0
777100,100.0274,0
779100,100.127,0
-1589900,99.859,0
-1319900,99.87,0
645100,99.999855,0
-1499900,99.86,0
721100,99.99663,0
702100,99.9873,0
753100,100.105,0
568100,100.00295,0
774100,100.0951,0
-1179900,99.856,0
-1379900,99.871,0
545100,100.0221,0
860100,100.00718,0
607100,99.9841,0
-1469900,99.875,0
-1339900,99.859,0
890100,100.0116,0
797100,100.124,0
715100,100.109,0
731100,100.00898,0
-1469900,99.885,0
-1659900,99.884,0
722100,100.135,0
628100,100.0989,0
614100,100.146,0
540100,100.0146,0
-1429900,99.864,0
-1549900,99.855,0
-1429900,99.881,0
-1189900,99.894,0
692100,99.999439,0
658100,99.997,0
-1159900,99.882,0
491100,100.116,0
922100,100.119,0
906100,100.00834,0
530100,100.00675,0
589100,100.0167,0
772100,100.0166,0
-1559900,99.841,0
723100,100.0174,0
-1239900,99.856,0
545100,100.0143,0
930100,100.00128,0
677100,100.131,0
507100,100.0165,0
651100,100.122,0
489100,100.109,0
691100,100.0179,0
-1429900,99.865,0
669100,100.115,0
861100,100.114,0
626100,100.124,0
342100,100.111,0
361100,100.0239,0
-1479900,99.879,0
1020100,99.99069,0
-1329900,99.871,0
-1369900,99.859,0
746100,100.117,0
833100,100.127,0
606100,100.105,0
785100,100.0191,0
1160100,100.0113,0
504100,100.0111,0
864100,100.125,0
712100,100.0168,0
-1529900,99.882,0
-1339900,99.842,0
672100,100.123,0
-1319900,99.866,0
582100,100.0152,0
383100,100.129,0
506100,100.109,0
940100,100.00951,0
801100,100.132,0
308100,100.132,0
607100,100.107,0
841100,100.121,0
592100,99.99344,0
-1159900,99.876,0
-1319900,99.886,0
-1389900,99.899,0
-1339900,99.858,0
984100,100.0153,0
-1369900,99.882,0
757100,100.0234,0
568100,100.111,0
-1659900,99.879,0
799100,100.00653,0
922100,100.13,0
-1429900,99.879,0
772100,100.102,0
568100,100.11,0
748100,100.109,0
760100,100.12,0
667100,100.00199,0
-1629900,99.884,0
-1529900,99.856,0
673100,100.135,0
521100,100.00825,0
-1399900,99.866,0
786100,100.0127,0
889100,99.9947,0
767100,100.0029,0
678100,100.129,0
-1509900,99.872,0
-1259900,99.852,0
-1329900,99.893,0
-1279900,99.872,0
655100,99.99715,0
889100,100.13,0
591100,100.000376,0
-1489900,99.866,0
458100,100.0101,0
-1279900,99.877,0
895100,100.12,0
-1199900,99.874,0
305100,100.126,0
-1469900,99.859,0
748100,100.0156,0
1060100,100.00132,0
-1179900,99.875,0
489100,99.988,0
585100,99.99359,0
-990900,99.869,0
539100,100.013,0
-1179900,99.899,0
983100,99.99136,0
-1509900,99.89,0
661100,99.9824,0
752100,99.99243,0
718100,100.131,0
-1159900,99.9015,0
-1139900,99.867,0
-1549900,99.894,0
-1259900,99.871,0
-1539900,99.887,0
618100,100.0101,0
746100,100.0433,0
909100,100.101,0
-1489900,99.868,0
600100,99.99663,0
-1659900,99.882,0
568100,100.0962,0
-1659900,99.9034,0
604100,100.121,0
375100,100.122,0
-1399900,99.889,0
690100,100.00498,0
444100,100.0253,0
-1449900,99.863,0
634100,100.142,0
701100,100.133,0
488100,100.0279,0
789100,100.127,0
-1349900,99.863,0
669100,99.99556,0
-1409900,99.871,0
671100,100.0949,0
261100,100.117,0
817100,100.0129,0
-1309900,99.864,0
-1069900,99.878,0
-1339900,99.888,0
637100,99.9881,0
-1339900,99.895,0
-1449900,99.876,0
648100,100.112,0
-1439900,99.878,0
970100,100.103,0
713100,100.112,0
793100,100.104,0
640100,100.104,0
791100,100.139,0
666100,99.99885,0
958100,100.0111,0
622100,100.00662,0
525100,100.12,0
-1429900,99.867,0
722100,100.00407,0
-1139900,99.87,0
745100,100.119,0
698100,100.143,0
-1359900,99.888,0
-1319900,99.878,0
643100,100.0257,0
548100,100.096,0
-1449900,99.868,0
-1619900,99.869,0
1030100,100.127,0
822100,100.0117,0
755100,100.0175,0
380100,100.127,0
568100,100.0998,0
634100,100.0129,0
723100,100.00209,0
688100,100.00838,0
519100,100.136,0
1120100,100.124,0
649100,100.102,0
-1419900,99.885,0
-1009900,99.89,0
-1229900,99.885,0
958100,100.124,0
622100,100.00413,0
1200100,100.0986,0
718100,100.112,0
801100,100.147,0
546100,100.00322,0
-1299900,99.884,0
449100,100.0155,0
657100,100.122,0
604100,100.106,0
678100,100.0077,0
700100,100.00199,0
473100,100.0127,0
465100,100.129,0
350100,100.102,0
382100,100.0995,0
-1179900,99.882,0
798100,100.105,0
-1509900,99.873,0
-1589900,99.875,0
516100,100.121,0
1030100,100.135,0
785100,100.00973,0
416100,100.126,0
-1239900,99.876,0
-1619900,99.871,0
648100,100.141,0
650100,100.125,0
847100,100.113,0
840100,100.125,0
-1429900,99.889,0
689100,100.0166,0
654100,100.0348,0
760100,100.0967,0
-1409900,99.882,0
487100,100.0174,0
-1709900,99.875,0
601100,100.129,0
884100,100.0234,0
-1289900,99.876,0
642100,100.122,0
-1509900,99.887,0
1100100,100.00734,0
565100,99.99103,0
819100,100.119,0
687100,100.00381,0
848100,100.113,0
-1439900,99.868,0
550100,100.00329,0
914100,100.116,0
732100,100.12,0
-1599900,99.864,0
671100,100.00748,0
913100,100.104,0
-1439900,99.855,0
-1529900,99.872,0
603100,100.0147,0
826100,100.123,0
923100,100.135,0
851100,100.125,0
789100,100.00192,0
696100,100.11,0
-1489900,99.9012,0
475100,99.99624,0
-1319900,99.866,0
666100,100.0152,0
764100,100.124,0
673100,100.122,0
-1349900,99.875,0
720100,100.0122,0
706100,100.116,0
-1609900,99.886,0
611100,100.113,0
691100,100.0862,0
-1469900,99.878,0
510100,100.13,0
-1109900,99.879,0
-1139900,99.873,0
749100,100.125,0
757100,100.00703,0
711100,100.0105,0
-1399900,99.875,0
-1429900,99.861,0
-1489900,99.902,0
-1519900,99.862,0
573100,100.0159,0
-1289900,99.881,0
-1539900,99.876,0
490100,100.0276,0
1030100,99.99654,0
-1159900,99.857,0
481100,100.00333,0
503100,100.122,0
779100,99.9988,0
911100,99.99628,0
754100,100.00534,0
-1529900,99.866,0
551100,100.0223,0
799100,100.0131,0
-1399900,99.9027,0
-1479900,99.888,0
-1579900,99.862,0
704100,99.99653,0
-1399900,99.881,0
773100,100.116,0
734100,100.121,0
599100,100.122,0
700100,100.12,0
657100,100.115,0
673100,99.99101,0
779100,100.102,0
980100,100.13,0
838100,100.121,0
638100,100.0237,0
349100,100.014,0
665100,99.99688,0
891100,100.141,0
595100,100.00224,0
1020100,100.101,0
749100,100.024,0
868100,100.123,0
-1459900,99.885,0
951100,100.121,0
535100,100.006,0
-1229900,99.871,0
604100,100.115,0
-1239900,99.869,0
845100,100.109,0
726100,100.00192,0
483100,100.104,0
519100,100.00852,0
342100,99.99062,0
-1329900,99.851,0
581100,100.128,0
590100,100.0185,0
-1269900,99.867,0
881100,100.101,0
-1159900,99.869,0
-1329900,99.885,0
-1339900,99.874,0
-1479900,99.88,0
-1199900,99.876,0
-1179900,99.88,0
-1239900,99.876,0
-1379900,99.88,0
836100,100.134,0
640100,100.154,0
-1179900,99.862,0
715100,100.128,0
-1569900,99.883,0
-1289900,99.89,0
498100,100.122,0
-1249900,99.9028,0
-1369900,99.863,0
750100,100.00509,0
-1349900,99.864,0
608100,99.99726,0
-1679900,99.89,0
952100,100.113,0
-1179900,99.871,0
673100,99.99888,0
591100,100.127,0
-1289900,99.877,0
909100,100.116,0
-1449900,99.871,0
-1339900,99.883,0
566100,100.0186,0
-1349900,99.867,0
-1119900,99.854,0
702100,99.99705,0
456100,100.136,0
706100,100.119,0
-1279900,99.875,0
924100,100.0115,0
730100,100.103,0
514100,100.116,0
615100,99.9822,0
347100,100.108,0
405100,100.115,0
-1449900,99.85,0
543100,100.113,0
-1199900,99.87,0
593100,100.136,0
969100,100.114,0
561100,99.99514,0
635100,100.00031,0
-1169900,99.848,0
-1039900,99.883,0
-1119900,99.862,0
-1559900,99.879,0
680100,100.124,0
1050100,100.0135,0
620100,100.109,0
-1369900,99.892,0
803100,100.119,0
-1229900,99.894,0
-1209900,99.864,0
-1519900,99.878,0
421100,100.119,0
-1309900,99.884,0
-1499900,99.859,0
571100,100.0206,0
641100,100.0134,0
438100,100.019,0
628100,100.00632,0
-1159900,99.867,0
-1249900,99.877,0
809100,100.0125,0
-1719900,99.874,0
-1559900,99.885,0
543100,100.0155,0
736100,100.126,0
614100,99.9857,0
492100,100.00666,0
795100,100.0987,0
924100,100.109,0
-1429900,99.871,0
630100,99.9846,0
752100,100.0309,0
684100,100.00773,0
539100,99.99444,0
552100,99.999045,0
883100,99.99141,0
-1219900,99.874,0
-1139900,99.891,0
579100,100.0164,0
-1129900,99.874,0
737100,99.99405,0
715100,100.148,0
-1409900,99.867,0
456100,100.0134,0
883100,99.99892,0
-1559900,99.887,0
448100,99.99747,0
822100,99.99638,0
430100,100.132,0
-1539900,99.855,0
790100,100.11,0
752100,100.0288,0
-1419900,99.86,0
676100,100.0068,0
766100,100.11,0
679100,100.0118,0
-1239900,99.884,0
621100,100.12,0
826100,100.136,0
400100,100.0152,0
840100,100.101,0
669100,100.108,0
-1389900,99.882,0
517100,100.109,0
685100,100.126,0
538100,100.12,0
773100,99.9918,0
628100,100.116,0
638100,100.121,0
714100,99.9848,0
399100,100.122,0
-1399900,99.868,0
686100,99.99578,0
729100,100.00797,0
387100,100.123,0
973100,100.117,0
-1309900,99.839,0
476100,100.117,0
700100,100.00491,0
673100,100.0184,0
1120100,100.131,0
-1409900,99.872,0
705100,100.0028,0
-1229900,99.861,0
-1449900,99.866,0
729100,100.125,0
733100,99.99574,0
-1519900,99.879,0
536100,100.00188,0
-1459900,99.892,0
-1529900,99.873,0
325100,100.147,0
-1749900,99.877,0
678100,100.142,0
532100,100.141,0
-1429900,99.868,0
-1729900,99.893,0
866100,100.0209,0
-1189900,99.886,0
724100,99.9847,0
396100,100.000549,0
-1419900,99.896,0
760100,100.00277,0
797100,100.136,0
679100,100.126,0
-1539900,99.861,0
712100,100.011,0
-1649900,99.873,0
-1279900,99.879,0
-1399900,99.871,0
488100,100.119,0
-1419900,99.846,0
1020100,100.00095,0
599100,100.0118,0
-1229900,99.887,0
678100,100.123,0
445100,100.0305,0
924100,100.0192,0
-1479900,99.9015,0
913100,100.114,0
-1359900,99.893,0
843100,100.102,0
539100,100.0101,0
-1309900,99.864,0
-1379900,99.893,0
637100,100.0973,0
536100,100.105,0
-1209900,99.893,0
748100,99.9858,0
921100,100.149,0
676100,100.124,0
617100,99.99056,0
-1549900,99.882,0
-1719900,99.875,0
-1499900,99.889,0
650100,99.9888,0
644100,100.00396,0
722100,100.0999,0
690100,100.114,0
709100,100.128,0
713100,100.00687,0
674100,100.132,0
661100,100.00109,0
765100,100.115,0
-1419900,99.864,0
