dataset,x,y
dots,51.1479167122,90.8674123313
dots,50.5171258092,89.1023945866
dots,50.2074801993,85.4600473951
dots,50.0694819181,83.0576695262
dots,50.5628463386,82.9378217764
dots,50.288527801,82.9752535659
dots,25.5834750822,82.9148911324
dots,25.4835833896,82.929084979
dots,25.4435257049,82.8742004973
dots,25.5651134237,82.9240977704
dots,25.9288442731,82.8211841087
dots,27.5514782612,51.4873865306
dots,27.5304663693,51.4148465629
dots,27.0955703605,52.0767994399
dots,27.4392496133,51.7120790527
dots,27.8782642594,50.70890793
dots,27.3388689181,51.6530467544
dots,27.6784029741,51.1819891691
dots,52.6356576791,51.4185522584
dots,52.0252141055,52.1230110467
dots,52.8811647904,50.6215547554
dots,52.9526073133,50.0747390118
dots,52.5205524936,51.5024421035
dots,52.3428220582,51.8619520908
dots,51.9275902141,52.2577906065
dots,52.7137744894,51.1979443188
dots,50.4438027888,82.9418288173
dots,50.2166950326,83.7523429676
dots,52.1841801076,51.9752506714
dots,52.7920973459,51.0733956509
dots,52.5897198565,51.338090196
dots,52.0288486671,52.1768375002
dots,52.729246581,51.2017650475
dots,52.8843132864,50.4414354501
dots,52.5093008862,51.4162051508
dots,50.8626843321,17.1456310914
dots,50.8914922458,17.1413237277
dots,25.8551275976,17.0819086886
dots,26.0256445518,16.9250135319
dots,27.8931727187,50.6619634101
dots,27.6399679354,51.3990974838
dots,27.892658895,50.7952815163
dots,52.7977329399,50.6860370901
dots,27.5806388053,51.5247612607
dots,26.4913985349,17.4053909738
dots,25.9853178159,17.203722132
dots,26.2014192753,17.0938239128
dots,25.8575694746,17.113842659
dots,50.7046843629,17.0237445436
dots,50.8119753465,17.1149252621
dots,50.5648455577,17.0777773216
dots,50.9393039127,16.981021883
dots,50.4588548392,17.0385789686
dots,52.9013640729,50.6905627231
dots,52.6849534438,51.2944692191
dots,52.500088943,51.594356165
dots,51.8356372562,52.3357655339
dots,76.9954121013,52.0455286534
dots,77.310600475,51.7467300374
dots,77.9260443352,50.3186604237
dots,77.2543883433,51.4618248152
dots,76.2431578028,52.1236898503
dots,77.0844843669,51.9671367003
dots,75.2280531954,82.9856620201
dots,50.6583547714,83.1144793358
dots,50.2033658114,82.9826568621
dots,50.9295476993,82.8460411252
dots,50.1786718465,83.1846223323
dots,50.422698058,82.9099014671
dots,50.4642248341,82.9353284131
dots,50.4492703306,83.9699203811
dots,49.9283802752,82.9936654888
dots,50.4880136436,83.0995191232
dots,49.9649053793,83.7083177013
dots,50.7521082559,82.9019500961
dots,27.4224292143,51.4388762325
dots,27.6740833991,51.3041121452
dots,27.5373953151,51.5936540762
dots,52.2633473764,94.2493278274
dots,51.7372816586,92.9791175339
dots,75.8709636929,88.3864417377
dots,75.2443262052,83.9034973788
dots,75.1982952889,83.4623033365
dots,75.7010415321,82.9194588559
dots,75.4793396586,82.8840513891
dots,75.1945668739,82.9321157846
dots,74.8202539551,82.9623887856
dots,75.1643404933,83.0349971693
dots,75.2633555474,82.9452793018
dots,77.7564189331,51.1517703255
dots,77.9544350549,50.4755789715
dots,77.0833377719,52.1577992662
dots,76.0635502513,52.1046520613
dots,77.6820163247,51.1656378096
dots,76.8780819814,51.8675622958
dots,76.9485027211,51.9075165439
dots,77.8640547124,49.6625455341
dots,75.7714500936,17.1112512057
dots,52.3315691301,51.8788603463
dots,52.5928183721,51.3915915185
dots,50.4770477213,17.0482894119
dots,75.2964750909,17.0156531888
dots,75.573954129,17.0621921415
dots,75.4005271583,17.0411068868
dots,75.8709908356,17.1348939075
dots,75.6058847579,17.0677230553
dots,75.8955770466,17.1699497051
dots,75.7465632023,17.1057165115
dots,75.1423414811,16.7549238932
dots,50.6617795563,17.0781405153
dots,50.6998506392,17.0851843836
dots,50.9189408654,17.1476047571
dots,50.7252585405,16.9074698083
dots,51.2638712274,17.1623497098
dots,51.2509196468,17.2404558616
dots,50.7851572052,17.1801964842
dots,50.5013965822,17.1057707188
dots,50.7336745372,16.9929634144
dots,50.7113785398,17.0883158538
dots,50.8127448984,16.5727180506
dots,51.014232955,17.2210955293
dots,50.3535214052,17.0647430794
dots,50.4355295722,17.0651685025
dots,50.6309819633,17.0765223454
dots,51.0668072036,17.2088597095
dots,50.7923547263,17.2042143387
dots,50.5512780561,17.0846551833
dots,50.5597580562,17.0938837744
dots,75.3259785471,15.7718919896
dots,75.04472578,17.0042622562
dots,75.2870877232,16.1749349097
dots,75.2399699777,17.0318474866
dots,75.1524592023,17.0049424015
dots,75.9618400861,16.6948422289
dots,75.4480625064,17.0451494125
dots,75.7593838168,16.9429296545
dots,50.378262298,16.9462798113
dots,50.5336350094,17.0195813691
dots,77.5009073165,50.1669859475
dots,50.6911241884,87.5139604241
dots,49.9903949511,83.997356924
dots,50.1271820272,82.990749996
