x1,x2,output
-1210000,-1250000,0
1660000,343000,0
979000,-9580,0
1560000,671000,0
777000,-525000,0
-958000,-291000,0
1670000,-124000,0
284000,1740000,0
-1090000,1340000,0
755000,-478000,0
309000,-818000,0
-392000,-711000,0
171000,-927000,0
-187000,1680000,0
1730000,-310000,0
1350000,-1110000,0
-79000,-949000,0
768000,-633000,0
-1840000,279000,0
-409000,684000,0
128000,1770000,0
1170000,-1450000,0
1350000,1130000,0
-1550000,-888000,0
-929000,130000,0
705000,397000,0
-858000,-175000,0
-330000,-1650000,0
181000,938000,0
-252000,-749000,0
545000,-545000,0
-1520000,899000,0
-931000,-17600,0
281000,936000,0
-776000,43900,0
565000,-703000,0
-1080000,-1200000,0
216000,-1730000,0
-1250000,-1250000,0
-1480000,688000,0
-805000,-508000,0
612000,-812000,0
950000,57300,0
1320000,-1170000,0
-1100000,1370000,0
-677000,-1590000,0
-839000,306000,0
1680000,-615000,0
501000,570000,0
-671000,-690000,0
917000,447000,0
-825000,-399000,0
94600,-1690000,0
126000,-678000,0
-286000,-1600000,0
-49500,-989000,0
1630000,-611000,0
-789000,-1590000,0
812000,59800,0
-906000,145000,0
-1310000,-1190000,0
1540000,992000,0
-816000,397000,0
-592000,1730000,0
62700,835000,0
-16300,924000,0
-559000,-1820000,0
-593000,-783000,0
-1350000,-1150000,0
-977000,144000,0
1630000,158000,0
-1690000,-1060000,0
727000,195000,0
-732000,525000,0
748000,1560000,0
-143000,-1710000,0
39400,880000,0
-230000,1850000,0
529000,1660000,0
395000,-665000,0
756000,-378000,0
-1650000,-626000,0
-1080000,-1280000,0
-1370000,-1300000,0
604000,667000,0
-766000,1440000,0
596000,-469000,0
-937000,-1520000,0
-69400,-1780000,0
-1760000,85000,0
375000,-1760000,0
15400,-1780000,0
-1180000,1060000,0
1740000,403000,0
-632000,-419000,0
-104000,-1010000,0
1560000,-1130000,0
-575000,1660000,0
1760000,503000,0
155000,946000,0
-694000,347000,0
321000,-888000,0
985000,1560000,0
101000,890000,0
-1030000,60800,0
133000,1040000,0
-1700000,583000,0
-1310000,-942000,0
444000,-1710000,0
-913000,323000,0
-29000,1850000,0
1720000,157000,0
1650000,681000,0
1240000,1050000,0
-301000,-868000,0
201000,815000,0
1620000,422000,0
-346000,-678000,0
765000,500000,0
-232000,-1800000,0
1520000,775000,0
1710000,-726000,0
-1220000,-1250000,0
-543000,-1670000,0
-1080000,-1550000,0
-307000,902000,0
-1680000,-648000,0
-1830000,-314000,0
449000,-669000,0
-70500,909000,0
1070000,290000,0
268000,837000,0
-283000,1780000,0
-312000,-876000,0
1420000,-1020000,0
-1570000,1040000,0
443000,1740000,0
-1370000,1150000,0
-992000,399000,0
712000,-1560000,0
-1620000,729000,0
964000,-1510000,0
