dataset,x,y
x_shape,38.3377571839,92.472719051
x_shape,35.7518707905,94.1167680276
x_shape,32.7672179591,88.5182945794
x_shape,33.7296067755,88.622265789
x_shape,37.238249327,83.7249284144
x_shape,36.0271982243,82.0407806505
x_shape,39.2392807768,79.2637238398
x_shape,39.7845249391,82.2605658962
x_shape,35.1660293896,84.1564919839
x_shape,40.622115916,78.5421042089
x_shape,39.181907086,79.8190371976
x_shape,42.4308889944,75.1336346406
x_shape,43.0812558617,75.3467016413
x_shape,44.3607194344,70.4742070546
x_shape,44.3247788435,71.0459044019
x_shape,47.552160202,66.4604037217
x_shape,48.6649246215,64.9610049438
x_shape,46.280631958,68.0284231525
x_shape,50.5632444849,62.6238279659
x_shape,52.6309642318,59.9639357915
x_shape,54.6362064446,57.4938424367
x_shape,51.346027139,61.6005530364
x_shape,57.134855354,53.8779658045
x_shape,54.1712415737,58.0598078952
x_shape,50.9423823071,62.0973939351
x_shape,66.512924456,59.0712818478
x_shape,64.3979095023,56.1748754008
x_shape,68.686593294,62.2373439902
x_shape,65.0277937057,57.0962573525
x_shape,53.3045031712,40.883844549
x_shape,52.9451780881,40.3846256942
x_shape,45.225738199,30.5552259226
x_shape,50.8433046202,37.7446280981
x_shape,49.6592939398,36.273442735
x_shape,47.1427889348,32.0250641734
x_shape,41.2700565259,21.7218171465
x_shape,47.1301271555,31.3099029222
x_shape,40.9159715783,23.5415923929
x_shape,38.6601639737,21.6895496369
x_shape,42.6125508262,24.195053774
x_shape,41.2090395008,24.1287091891
x_shape,50.6492211499,37.4837907435
x_shape,52.1319019406,39.3646020815
x_shape,39.7972712705,16.083549649
x_shape,43.5498814807,24.3072109395
x_shape,36.7146633371,17.3818098572
x_shape,37.2246101278,17.9800644828
x_shape,40.5124478537,22.9622145725
x_shape,40.2220627884,20.6146217044
x_shape,44.1249612057,23.3662452858
x_shape,42.3462616039,24.5583269437
x_shape,44.1890843708,28.772625473
x_shape,45.8142453101,31.056979672
x_shape,46.6431192691,31.4072190618
x_shape,52.1898883047,39.3677964938
x_shape,51.1003173587,38.095699984
x_shape,65.4008341477,42.6140320392
x_shape,64.8520398267,43.1337348404
x_shape,63.4038060118,44.847493688
x_shape,65.3715488709,42.6959713164
x_shape,61.9080397046,53.1903520694
x_shape,71.8266529973,65.6862303604
x_shape,72.6546231621,66.8782776113
x_shape,76.8885781632,72.1654720777
x_shape,43.7446196844,71.2679610751
x_shape,39.0542484428,83.1190207043
x_shape,39.9316746322,79.9391880033
x_shape,39.762826107,76.4059674459
x_shape,41.323383287,80.2118685969
x_shape,41.7873232275,83.9880779935
x_shape,39.7556490651,79.6570966361
x_shape,40.7498793985,77.204657286
x_shape,43.8568984983,77.6098436482
x_shape,42.3678224956,73.6382718294
x_shape,39.4629598364,78.459973898
x_shape,44.5173339492,70.3693498252
x_shape,41.6360929963,76.2492229205
x_shape,45.4229321817,69.0955016709
x_shape,42.0028562742,97.8376147235
x_shape,76.1056290282,95.3049805754
x_shape,79.2025626772,92.4072156264
x_shape,84.8482440854,95.4248045304
x_shape,81.5644753207,83.7929072262
x_shape,85.4461864009,83.0782938448
x_shape,80.3124913784,76.5162389518
x_shape,80.7662322969,79.8960656796
x_shape,82.6701124763,81.711479845
x_shape,77.1636254828,73.5237189623
x_shape,74.0707000309,68.4795642895
x_shape,74.1142308687,71.9263635185
x_shape,68.942075458,62.635150577
x_shape,73.2420023309,67.3532711288
x_shape,71.8670131631,34.3291575887
x_shape,71.5691888532,34.699218607
x_shape,71.4829096934,34.6805169926
x_shape,78.1285220512,23.139231835
x_shape,78.789825254,25.5971933466
x_shape,77.7815467962,23.4472144745
x_shape,48.5306293681,34.1524500077
x_shape,65.5307814724,42.2810847015
x_shape,70.1180341426,36.4481847905
x_shape,70.4722626065,36.0880530553
x_shape,76.7911300701,28.0720081685
x_shape,72.4093545935,33.0392569664
x_shape,76.271299815,25.5695441452
x_shape,76.9532591384,27.7706107405
x_shape,75.1077300904,30.0169834157
x_shape,75.9692852004,29.0388653753
x_shape,75.2838870131,24.8747531721
x_shape,77.0522406385,27.9056390894
x_shape,42.8267563374,25.5569594065
x_shape,42.0806606852,24.9465264454
x_shape,39.8783046498,18.3249292157
x_shape,36.4754991726,17.7189477884
x_shape,37.1030736419,15.4456116477
x_shape,34.1489682077,13.5238698677
x_shape,37.5794219113,15.0158901333
x_shape,41.0643057894,12.2144689321
x_shape,42.195266147,20.9193721857
x_shape,36.6055782383,15.748875885
x_shape,39.4311612098,19.3238407541
x_shape,37.5620763361,11.9284457044
x_shape,34.2381100444,13.7131582305
x_shape,34.1409410386,4.57766135024
x_shape,36.6592676972,17.6819644553
x_shape,40.6437192795,20.2408613716
x_shape,36.7924815919,13.3921347304
x_shape,75.9483006427,22.7447959146
x_shape,76.8406924717,20.9185472197
x_shape,81.9504776395,19.8745582085
x_shape,81.6437056853,16.5917599845
x_shape,84.6102197758,14.2477619017
x_shape,84.1028794336,8.98065579006
x_shape,80.18002545,19.0888441297
x_shape,80.5732729943,8.36563890168
x_shape,79.0043268649,10.6281977654
x_shape,40.0481864651,24.2614879334
x_shape,34.7945935378,13.9696834611
x_shape,79.221764441,22.0945914837
x_shape,36.0308797708,93.1217332374
x_shape,34.4995583102,86.6099850511
x_shape,31.1068665551,89.4616352367
